Date,Station Number,Boarding,Line,Total
2010-04-30,151,False,1,700722
2010-05-31,151,False,1,716207
2010-06-30,151,False,1,751839
2010-07-31,151,False,1,696214
2010-08-31,151,False,1,709229
2010-09-30,151,False,1,641375
2010-10-31,151,False,1,756147
2010-11-30,151,False,1,781712
2010-12-31,151,False,1,779449
2011-01-31,151,False,1,720980
2011-02-28,151,False,1,607309
2011-03-31,151,False,1,734001
2011-04-30,151,False,1,687107
2011-05-31,151,False,1,718017
2011-06-30,151,False,1,679285
2011-07-31,151,False,1,652551
2011-08-31,151,False,1,665372
2011-09-30,151,False,1,665620
2011-10-31,151,False,1,711464
2011-11-30,151,False,1,783270
2011-12-31,151,False,1,744835
2012-01-31,151,False,1,648340
2012-02-29,151,False,1,630166
2012-03-31,151,False,1,671390
2012-04-30,151,False,1,643250
2012-05-31,151,False,1,687943
2012-06-30,151,False,1,664089
2012-07-31,151,False,1,646492
2012-08-31,151,False,1,603862
2012-09-30,151,False,1,650865
2012-10-31,151,False,1,774661
2012-11-30,151,False,1,761594
2012-12-31,151,False,1,731257
2013-01-31,151,False,1,749484
2013-02-28,151,False,1,629451
2013-03-31,151,False,1,726756
2013-04-30,151,False,1,733250
2013-05-31,151,False,1,752556
2013-06-30,151,False,1,659186
2013-07-31,151,False,1,721502
2013-08-31,151,False,1,735801
2013-09-30,151,False,1,690689
2013-10-31,151,False,1,790132
2013-11-30,151,False,1,817480
2013-12-31,151,False,1,789759
2014-01-31,151,False,1,728363
2014-02-28,151,False,1,682969
2014-03-31,151,False,1,766004
2014-04-30,151,False,1,751608
2014-05-31,151,False,1,761123
2014-06-30,151,False,1,675516
2014-07-31,151,False,1,747402
2014-08-31,151,False,1,706046
2014-09-30,151,False,1,702024
2014-10-31,151,False,1,806546
2014-11-30,151,False,1,828225
2014-12-31,151,False,1,801993
2015-01-31,151,False,1,742832
2015-02-28,151,False,1,608596
2015-03-31,151,False,1,741509
2015-04-30,151,False,1,783521
2015-05-31,151,False,1,759506
2015-06-30,151,False,1,670272
2015-07-31,151,False,1,720808
2015-08-31,151,False,1,720292
2015-09-30,151,False,1,715581
2015-10-31,151,False,1,817732
2015-11-30,151,False,1,828940
2015-12-31,151,False,1,872679
2016-01-31,151,False,1,742168
2016-02-29,151,False,1,646918
2016-03-31,151,False,1,781021
2016-04-30,151,False,1,753788
2016-05-31,151,False,1,800419
2016-06-30,151,False,1,779329
2016-07-31,151,False,1,749991
2016-08-31,151,False,1,741395
2016-09-30,151,False,1,727105
2016-10-31,151,False,1,797228
2016-11-30,151,False,1,1041900
2016-12-31,151,False,1,960049
2017-01-31,151,False,1,718654
2017-02-28,151,False,1,832847
2017-03-31,151,False,1,893322
2017-04-30,151,False,1,764708
2017-05-31,151,False,1,717179
2017-06-30,151,False,1,720498
2017-07-31,151,False,1,709291
2017-08-31,151,False,1,702661
2017-09-30,151,False,1,792687
2017-10-31,151,False,1,729187
2017-11-30,151,False,1,821299
2017-12-31,151,False,1,798087
2018-01-31,151,False,1,732717
2018-02-28,151,False,1,633621
2018-03-31,151,False,1,764820
2018-04-30,151,False,1,735018
2018-05-31,151,False,1,758474
2018-06-30,151,False,1,708273
2018-07-31,151,False,1,739974
2018-08-31,151,False,1,715701
2018-09-30,151,False,1,716474
2018-10-31,151,False,1,829752
2018-11-30,151,False,1,838578
2018-12-31,151,False,1,816213
2019-01-31,151,False,1,780007
2019-02-28,151,False,1,634697
2019-03-31,151,False,1,790155
2019-04-30,151,False,1,819249
2019-05-31,151,False,1,842051
2019-06-30,151,False,1,772853
2019-07-31,151,False,1,801856
2019-08-31,151,False,1,804817
2019-09-30,151,False,1,737615
2019-10-31,151,False,1,961344
2019-11-30,151,False,1,856442
2019-12-31,151,False,1,876512
2020-01-31,151,False,1,744064
2020-02-29,151,False,1,576863
2020-03-31,151,False,1,446651
2020-04-30,151,False,1,437513
2020-05-31,151,False,1,481763
2020-06-30,151,False,1,524975
2020-07-31,151,False,1,573473
2020-08-31,151,False,1,461785
2020-09-30,151,False,1,426557
2020-10-31,151,False,1,498262
2020-11-30,151,False,1,538929
2020-12-31,151,False,1,426100
2021-01-31,151,False,1,411990
2021-02-28,151,False,1,417798
2021-03-31,151,False,1,534714
2021-04-30,151,False,1,537645
2021-05-31,151,False,1,515218
2021-06-30,151,False,1,549054
2021-07-31,151,False,1,477469
2021-08-31,151,False,1,445387
2021-09-30,151,False,1,451913
2021-10-31,151,False,1,514790
2021-11-30,151,False,1,602608
2021-12-31,151,False,1,571905
2022-01-31,151,False,1,508235
2022-02-28,151,False,1,440139
2022-03-31,151,False,1,506296
2022-04-30,151,False,1,584409
2022-05-31,151,False,1,658267
2022-06-30,151,False,1,624540
2022-07-31,151,False,1,657385
2022-08-31,151,False,1,649871
2022-09-30,151,False,1,659730
2022-10-31,151,False,1,774743
2022-11-30,151,False,1,765205
2022-12-31,151,False,1,762084
2023-01-31,151,False,1,656366
2023-02-28,151,False,1,685140
2023-03-31,151,False,1,785547
2023-04-30,151,False,1,744463
2023-05-31,151,False,1,778862
2023-06-30,151,False,1,750655
2023-07-31,151,False,1,728446
2023-08-31,151,False,1,731992
2023-09-30,151,False,1,738636
2023-10-31,151,False,1,802568
2023-11-30,151,False,1,813912
2023-12-31,151,False,1,785438
2024-01-31,151,False,1,759627
2024-02-29,151,False,1,673331
2024-03-31,151,False,1,768423
2024-04-30,151,False,1,777995
2024-05-31,151,False,1,800237
2024-06-30,151,False,1,729374
2024-07-31,151,False,1,749354
2024-08-31,151,False,1,709182
2024-09-30,151,False,1,679472
2024-10-31,151,False,1,865394
2024-11-30,151,False,1,829132
2024-12-31,151,False,1,830681
2008-01-31,151,True,1,827327
2008-02-29,151,True,1,637123
2008-03-31,151,True,1,725952
2008-04-30,151,True,1,691571
2008-05-31,151,True,1,808866
2008-06-30,151,True,1,818366
2008-07-31,151,True,1,743206
2008-08-31,151,True,1,718814
2008-09-30,151,True,1,684619
2008-10-31,151,True,1,743868
2008-11-30,151,True,1,679533
2008-12-31,151,True,1,792640
2009-01-31,151,True,1,686959
2009-02-28,151,True,1,675587
2009-03-31,151,True,1,700750
2009-04-30,151,True,1,689300
2009-05-31,151,True,1,792795
2009-06-30,151,True,1,703311
2009-07-31,151,True,1,720732
2009-08-31,151,True,1,759201
2009-09-30,151,True,1,713366
2009-10-31,151,True,1,660328
2009-11-30,151,True,1,648204
2009-12-31,151,True,1,738690
2010-01-31,151,True,1,664333
2010-02-28,151,True,1,593183
2010-03-31,151,True,1,690359
2010-04-30,151,True,1,684565
2010-05-31,151,True,1,698532
2010-06-30,151,True,1,723655
2010-07-31,151,True,1,680287
2010-08-31,151,True,1,702900
2010-09-30,151,True,1,635290
2010-10-31,151,True,1,727496
2010-11-30,151,True,1,755145
2010-12-31,151,True,1,774387
2011-01-31,151,True,1,719574
2011-02-28,151,True,1,604258
2011-03-31,151,True,1,721126
2011-04-30,151,True,1,669701
2011-05-31,151,True,1,697449
2011-06-30,151,True,1,669346
2011-07-31,151,True,1,653615
2011-08-31,151,True,1,671346
2011-09-30,151,True,1,658910
2011-10-31,151,True,1,705537
2011-11-30,151,True,1,768230
2011-12-31,151,True,1,758997
2012-01-31,151,True,1,668251
2012-02-29,151,True,1,652835
2012-03-31,151,True,1,676613
2012-04-30,151,True,1,642701
2012-05-31,151,True,1,706224
2012-06-30,151,True,1,663492
2012-07-31,151,True,1,651277
2012-08-31,151,True,1,615065
2012-09-30,151,True,1,651433
2012-10-31,151,True,1,752700
2012-11-30,151,True,1,759436
2012-12-31,151,True,1,746707
2013-01-31,151,True,1,759526
2013-02-28,151,True,1,640321
2013-03-31,151,True,1,723425
2013-04-30,151,True,1,730701
2013-05-31,151,True,1,755022
2013-06-30,151,True,1,664754
2013-07-31,151,True,1,728482
2013-08-31,151,True,1,742058
2013-09-30,151,True,1,677927
2013-10-31,151,True,1,779024
2013-11-30,151,True,1,797589
2013-12-31,151,True,1,791122
2014-01-31,151,True,1,730619
2014-02-28,151,True,1,684123
2014-03-31,151,True,1,748469
2014-04-30,151,True,1,736191
2014-05-31,151,True,1,753516
2014-06-30,151,True,1,671444
2014-07-31,151,True,1,747390
2014-08-31,151,True,1,712315
2014-09-30,151,True,1,695097
2014-10-31,151,True,1,792146
2014-11-30,151,True,1,802324
2014-12-31,151,True,1,807569
2015-01-31,151,True,1,747902
2015-02-28,151,True,1,612959
2015-03-31,151,True,1,742537
2015-04-30,151,True,1,777414
2015-05-31,151,True,1,757828
2015-06-30,151,True,1,660289
2015-07-31,151,True,1,708655
2015-08-31,151,True,1,719543
2015-09-30,151,True,1,712900
2015-10-31,151,True,1,808571
2015-11-30,151,True,1,820110
2015-12-31,151,True,1,867265
2016-01-31,151,True,1,748681
2016-02-29,151,True,1,653464
2016-03-31,151,True,1,782561
2016-04-30,151,True,1,750115
2016-05-31,151,True,1,793295
2016-06-30,151,True,1,773229
2016-07-31,151,True,1,748067
2016-08-31,151,True,1,744892
2016-09-30,151,True,1,721367
2016-10-31,151,True,1,789609
2016-11-30,151,True,1,979576
2016-12-31,151,True,1,938015
2017-01-31,151,True,1,725858
2017-02-28,151,True,1,808021
2017-03-31,151,True,1,874067
2017-04-30,151,True,1,754548
2017-05-31,151,True,1,711002
2017-06-30,151,True,1,713235
2017-07-31,151,True,1,699791
2017-08-31,151,True,1,698433
2017-09-30,151,True,1,782328
2017-10-31,151,True,1,718219
2017-11-30,151,True,1,820984
2017-12-31,151,True,1,805830
2018-01-31,151,True,1,739064
2018-02-28,151,True,1,637526
2018-03-31,151,True,1,775255
2018-04-30,151,True,1,743921
2018-05-31,151,True,1,763417
2018-06-30,151,True,1,710210
2018-07-31,151,True,1,741922
2018-08-31,151,True,1,723152
2018-09-30,151,True,1,720274
2018-10-31,151,True,1,834940
2018-11-30,151,True,1,849040
2018-12-31,151,True,1,833182
2019-01-31,151,True,1,782017
2019-02-28,151,True,1,640724
2019-03-31,151,True,1,791485
2019-04-30,151,True,1,815811
2019-05-31,151,True,1,824679
2019-06-30,151,True,1,754073
2019-07-31,151,True,1,782318
2019-08-31,151,True,1,787996
2019-09-30,151,True,1,725815
2019-10-31,151,True,1,914285
2019-11-30,151,True,1,835340
2019-12-31,151,True,1,867880
2020-01-31,151,True,1,733270
2020-02-29,151,True,1,572768
2020-03-31,151,True,1,441653
2020-04-30,151,True,1,436553
2020-05-31,151,True,1,480930
2020-06-30,151,True,1,517107
2020-07-31,151,True,1,560597
2020-08-31,151,True,1,461171
2020-09-30,151,True,1,429164
2020-10-31,151,True,1,491242
2020-11-30,151,True,1,533991
2020-12-31,151,True,1,431326
2021-01-31,151,True,1,420304
2021-02-28,151,True,1,420683
2021-03-31,151,True,1,533971
2021-04-30,151,True,1,532687
2021-05-31,151,True,1,502471
2021-06-30,151,True,1,536217
2021-07-31,151,True,1,477839
2021-08-31,151,True,1,451218
2021-09-30,151,True,1,451676
2021-10-31,151,True,1,507329
2021-11-30,151,True,1,590816
2021-12-31,151,True,1,572133
2022-01-31,151,True,1,507772
2022-02-28,151,True,1,433597
2022-03-31,151,True,1,503085
2022-04-30,151,True,1,574968
2022-05-31,151,True,1,644925
2022-06-30,151,True,1,620113
2022-07-31,151,True,1,641265
2022-08-31,151,True,1,637226
2022-09-30,151,True,1,651115
2022-10-31,151,True,1,760803
2022-11-30,151,True,1,756644
2022-12-31,151,True,1,772453
2023-01-31,151,True,1,645082
2023-02-28,151,True,1,675986
2023-03-31,151,True,1,782015
2023-04-30,151,True,1,741953
2023-05-31,151,True,1,768184
2023-06-30,151,True,1,741616
2023-07-31,151,True,1,726970
2023-08-31,151,True,1,727170
2023-09-30,151,True,1,729191
2023-10-31,151,True,1,794684
2023-11-30,151,True,1,816080
2023-12-31,151,True,1,799450
2024-01-31,151,True,1,757829
2024-02-29,151,True,1,674212
2024-03-31,151,True,1,778682
2024-04-30,151,True,1,779775
2024-05-31,151,True,1,800604
2024-06-30,151,True,1,723199
2024-07-31,151,True,1,744334
2024-08-31,151,True,1,706049
2024-09-30,151,True,1,679658
2024-10-31,151,True,1,847717
2024-11-30,151,True,1,827034
2024-12-31,151,True,1,839601
2008-01-31,152,False,1,1736406
2008-02-29,152,False,1,1437617
2008-03-31,152,False,1,1593266
2008-04-30,152,False,1,1447975
2008-05-31,152,False,1,1516670
2008-06-30,152,False,1,1429136
2008-07-31,152,False,1,1653892
2008-08-31,152,False,1,1543255
2008-09-30,152,False,1,1420902
2008-10-31,152,False,1,1497140
2008-11-30,152,False,1,1434255
2008-12-31,152,False,1,1634275
2009-01-31,152,False,1,1555220
2009-02-28,152,False,1,1538651
2009-03-31,152,False,1,1568528
2009-04-30,152,False,1,1480005
2009-05-31,152,False,1,1451038
2009-06-30,152,False,1,1421212
2009-07-31,152,False,1,1625875
2009-08-31,152,False,1,1530920
2009-09-30,152,False,1,1432367
2009-10-31,152,False,1,1375228
2009-11-30,152,False,1,1378972
2009-12-31,152,False,1,1579665
2010-01-31,152,False,1,1539037
2010-02-28,152,False,1,1361523
2010-03-31,152,False,1,1519050
2010-04-30,152,False,1,1439548
